"","scale","shape"
"1",0,0
"2",0,0
"3",0,0
"4",0,0
"5",0,0
"6",0,0
"7",0,0
"8",0,0
"9",0,0
"10",0,0
"11",0,0
"12",0,0
"13",0,0
"14",0,0
"15",0,0
"16",0,0
"17",0,0
"18",0,0
"19",0,0
"20",0,0
"21",0,0
"22",0,0
"23",0,0
"24",0,0
"25",0,0
"26",0,0
"27",0,0
"28",0,0
"29",0,0
"30",0,0
"31",0,0
"32",0,0
"33",0,0
"34",0,0
"35",0,0
"36",0,0
"37",0,0
"38",0,0
"39",0,0
"40",0,0
"41",0,0
"42",0,0
"43",0,0
"44",0,0
"45",0,0
"46",0,0
"47",0,0
"48",0,0
"49",0,0
"50",0,0
"51",0,0
"52",2.50343285125865,2.89198540271703
"53",1.28750097619572,1.67149039276952
"54",0.371665302360689,0.0631422653033145
"55",1.16028001677382,1.06972969239958
"56",2.49281665445737,2.68689303679855
"57",6.58260509489398,3.30038257379256
"58",1.40318085110518,1.62164957326061
"59",0,0
"60",0,0
"61",1.46299664898382,1.67245892315285
"62",0,0
"63",4.10997290626082,2.83392446198465
"64",1.07169288142664,1.31358540794216
"65",1.36797656760865,1.5725673766202
"66",1.58465653569124,1.67366278851879
"67",1.19961688326689,1.26880922009329
"68",0,0
"69",0,0
"70",0,0
"71",1.90195908280614,2.14907500041035
"72",1.84179027719646,2.1870448363193
"73",5.05196331912747,3.04648306005876
"74",1.68319514805166,1.76602842055477
"75",3.35459723955278,3.05680094732636
"76",0,0
"77",0,0
"78",1.14742810140586,1.42687731256717
"79",4.97179536774201,3.2343457185911
"80",2.65419458937476,2.94302995632443
"81",4.11432544373483,3.31283213866013
"82",2.83845572272628,3.23060656867608
"83",1.579165772131,1.49807181058511
"84",0,0
"85",1.60685554105224,1.90298777938943
"86",0,0
"87",0.912534893118282,0.989027702301958
"88",0,0
"89",1.16028001677382,1.06972969239958
"90",1.579165772131,1.49807181058511
"91",3.24726507254088,3.22563883306622
"92",2.32472267684454,2.72097356382298
"93",0,0
"94",0,0
"95",0,0
"96",0,0
"97",0,0
"98",0,0
"99",0,0
"100",0,0
"101",0,0
"102",0,0
"103",0,0
"104",0,0
"105",0,0
"106",0,0
"107",0,0
"108",0,0
"109",0,0
"110",0,0
"111",0,0
"112",0,0
"113",0,0
"114",1.37250799262838,1.77489766566672
"115",0,0
"116",0,0
"117",0,0
"118",8.38583207296438,3.33135726300695
"119",0,0
"120",0,0
"121",0,0
"122",0,0
"123",0,0
"124",0,0
"125",2.25922763375782,3.10728691349826
"126",1.17911652931462,1.55197347621589
"127",1.14703181651733,1.67627928125813
"128",2.32471961128075,2.40000264350076
"129",0.908238497547481,0.993252795321417
"130",0,0
"131",2.04696232223085,2.04107786615801
"132",8.38583207296438,3.33135726300695
"133",2.44235747212075,2.38187818706749
"134",2.22728655309843,2.00803084208494
"135",0,0
"136",0,0
"137",1.78676021498924,1.68777600346231
"138",0,0
